#repetition,Firm0,Firm1
0,36.0,42.0
1,33.0,36.0
2,33.0,30.0
3,39.0,45.0
4,39.0,30.0
5,48.0,33.0
6,45.0,30.0
7,39.0,33.0
8,30.0,42.0
9,48.0,30.0
10,33.0,30.0
11,33.0,42.0
12,54.0,27.0
13,45.0,27.0
14,51.0,39.0
15,48.0,27.0
16,42.0,27.0
17,45.0,33.0
18,42.0,18.0
19,39.0,39.0
20,42.0,45.0
21,33.0,39.0
22,33.0,33.0
23,39.0,42.0
24,27.0,30.0
25,36.0,24.0
26,36.0,45.0
27,39.0,36.0
28,36.0,39.0
29,42.0,21.0
30,33.0,27.0
31,30.0,42.0
32,18.0,42.0
33,36.0,36.0
34,33.0,36.0
35,24.0,48.0
36,39.0,33.0
37,24.0,42.0
38,42.0,33.0
39,33.0,33.0
40,60.0,30.0
41,42.0,30.0
42,48.0,24.0
43,30.0,33.0
44,51.0,30.0
45,45.0,30.0
46,39.0,48.0
47,39.0,39.0
48,42.0,24.0
49,57.0,33.0
50,45.0,27.0
51,30.0,30.0
52,36.0,39.0
53,42.0,30.0
54,51.0,33.0
55,33.0,36.0
56,30.0,36.0
57,18.0,51.0
58,33.0,45.0
59,48.0,15.0
60,39.0,24.0
61,48.0,27.0
62,36.0,27.0
63,42.0,33.0
64,36.0,39.0
65,39.0,36.0
66,39.0,30.0
67,36.0,33.0
68,30.0,42.0
69,42.0,36.0
70,30.0,51.0
71,30.0,30.0
72,51.0,27.0
73,57.0,27.0
74,39.0,30.0
75,27.0,51.0
76,42.0,45.0
77,36.0,39.0
78,42.0,21.0
79,33.0,36.0
80,27.0,33.0
81,42.0,30.0
82,36.0,39.0
83,42.0,30.0
84,48.0,27.0
85,42.0,33.0
86,45.0,36.0
87,39.0,36.0
88,36.0,30.0
89,45.0,30.0
90,48.0,36.0
91,39.0,39.0
92,51.0,30.0
93,30.0,33.0
94,27.0,54.0
95,45.0,21.0
96,30.0,33.0
97,33.0,48.0
98,42.0,33.0
99,39.0,39.0
100,45.0,42.0
101,33.0,30.0
102,36.0,33.0
103,48.0,18.0
104,42.0,30.0
105,45.0,27.0
106,51.0,36.0
107,51.0,33.0
108,45.0,33.0
109,33.0,36.0
110,42.0,30.0
111,39.0,27.0
112,45.0,36.0
113,45.0,39.0
114,36.0,39.0
115,30.0,36.0
116,24.0,45.0
117,30.0,33.0
118,33.0,39.0
119,36.0,42.0
120,24.0,30.0
121,36.0,45.0
122,30.0,33.0
123,30.0,42.0
124,30.0,39.0
125,36.0,33.0
126,27.0,36.0
127,24.0,48.0
128,36.0,39.0
129,42.0,30.0
130,45.0,27.0
131,36.0,27.0
132,39.0,30.0
133,39.0,33.0
134,36.0,33.0
135,39.0,33.0
