#repetition,Firm0,Firm1
0,1,2
1,3,2
2,1,2
3,3,2
4,1,2
5,3,2
6,1,2
7,3,2
8,1,2
9,3,2
10,1,2
11,3,2
12,1,2
13,3,2
14,1,2
15,3,2
16,1,2
17,3,2
18,1,2
19,3,2
20,1,2
21,3,2
22,1,2
23,3,2
24,1,2
25,3,2
26,1,2
27,3,2
28,1,2
29,3,2
30,1,2
31,3,2
32,1,2
33,3,2
34,1,2
35,3,2
36,1,2
37,3,2
38,1,2
39,3,2
40,1,2
41,3,2
42,1,2
43,3,2
44,1,2
45,3,2
46,1,2
47,3,2
48,1,2
49,3,2
50,1,2
51,3,2
52,1,2
53,3,2
54,1,2
55,3,2
56,1,2
57,3,2
58,1,2
59,3,2
60,1,2
61,3,2
62,1,2
63,3,2
64,1,2
65,3,2
66,1,2
67,3,2
68,1,2
69,3,2
70,1,2
71,3,2
72,1,2
73,3,2
74,1,2
75,3,2
76,1,2
77,3,2
78,1,2
79,3,2
80,1,2
81,3,2
82,1,2
83,3,2
84,1,2
85,3,2
86,1,2
87,3,2
88,1,2
89,3,2
90,1,2
91,3,2
92,1,2
93,3,2
94,1,2
95,3,2
96,1,2
97,3,2
98,1,2
99,3,2
100,1,2
101,3,2
102,1,2
103,3,2
104,1,2
105,3,2
106,1,2
107,3,2
108,1,2
109,3,2
110,1,2
111,3,2
112,1,2
113,3,2
114,1,2
115,3,2
116,1,2
117,3,2
118,1,2
119,3,2
120,1,2
121,3,2
122,1,2
123,3,2
124,1,2
125,3,2
126,1,2
127,3,2
128,1,2
129,3,2
130,1,2
131,3,2
132,1,2
133,3,2
134,1,2
135,3,2
136,1,2
137,3,2
138,1,2
139,3,2
140,1,2
141,3,2
142,1,2
143,3,2
144,1,2
145,3,2
146,1,2
147,3,2
148,1,2
149,3,2
150,1,2
151,3,2
152,1,2
153,3,2
154,1,2
155,3,2
156,1,2
157,3,2
158,1,2
159,3,2
160,1,2
161,3,2
162,1,2
163,3,2
164,1,2
165,3,2
166,1,2
167,3,2
168,1,2
169,3,2
170,1,2
171,3,2
172,1,2
173,3,2
174,1,2
175,3,2
176,1,2
177,3,2
178,1,2
179,3,2
180,1,2
181,3,2
182,1,2
183,3,2
184,1,2
185,3,2
186,1,2
187,3,2
188,1,2
189,3,2
190,1,2
191,3,2
192,1,2
193,3,2
194,1,2
195,3,2
196,1,2
197,3,2
198,1,2
199,3,2
200,1,2
201,3,2
202,1,2
203,3,2
204,1,2
205,3,2
206,1,2
207,3,2
208,1,2
209,3,2
210,1,2
211,3,2
212,1,2
213,3,2
214,1,2
215,3,2
216,1,2
217,3,2
218,1,2
219,3,2
220,1,2
221,3,2
222,1,2
223,3,2
224,1,2
225,3,2
226,1,2
227,3,2
228,1,2
229,3,2
230,1,2
231,3,2
232,1,2
233,3,2
234,1,2
235,3,2
236,1,2
237,3,2
238,1,2
239,3,2
240,1,2
241,3,2
242,1,2
243,3,2
244,1,2
245,3,2
246,1,2
247,3,2
248,1,2
249,3,2
250,1,2
251,3,2
252,1,2
253,3,2
254,1,2
255,3,2
256,1,2
257,3,2
258,1,2
259,3,2
260,1,2
261,3,2
262,1,2
263,3,2
264,1,2
265,3,2
266,1,2
267,3,2
268,1,2
269,3,2
270,1,2
271,3,2
272,1,2
273,3,2
274,1,2
275,3,2
276,1,2
277,3,2
278,1,2
279,3,2
280,1,2
281,3,2
282,1,2
283,3,2
284,1,2
285,3,2
286,1,2
287,3,2
288,1,2
289,3,2
290,1,2
291,3,2
292,1,2
293,3,2
294,1,2
295,3,2
296,1,2
297,3,2
298,1,2
299,3,2
300,1,2
301,3,2
302,1,2
303,3,2
304,1,2
305,3,2
306,1,2
307,3,2
308,1,2
309,3,2
310,1,2
311,3,2
312,1,2
313,3,2
314,1,2
315,3,2
316,1,2
317,3,2
318,1,2
319,3,2
320,1,2
321,3,2
322,1,2
323,3,2
324,1,2
325,3,2
326,1,2
327,3,2
328,1,2
329,3,2
330,1,2
331,3,2
332,1,2
333,3,2
334,1,2
335,3,2
336,1,2
337,3,2
338,1,2
339,3,2
340,1,2
341,3,2
342,1,2
343,3,2
344,1,2
345,3,2
346,1,2
347,3,2
348,1,2
349,3,2
350,1,2
351,3,2
352,1,2
353,3,2
354,1,2
355,3,2
356,1,2
357,3,2
358,1,2
359,3,2
360,1,2
361,3,2
362,1,2
363,3,2
364,1,2
365,3,2
366,1,2
367,3,2
368,1,2
369,3,2
370,1,2
371,3,2
372,1,2
373,3,2
374,1,2
375,3,2
376,1,2
377,3,2
378,1,2
379,3,2
380,1,2
381,3,2
382,1,2
383,3,2
384,1,2
385,3,2
386,1,2
387,3,2
388,1,2
389,3,2
390,1,2
391,3,2
392,1,2
393,3,2
394,1,2
395,3,2
396,1,2
397,3,2
398,1,2
399,3,2
400,1,2
401,3,2
402,1,2
403,3,2
404,1,2
405,3,2
406,1,2
407,3,2
408,1,2
409,3,2
410,1,2
411,3,2
412,1,2
413,3,2
414,1,2
415,3,2
416,1,2
417,3,2
418,1,2
419,3,2
420,1,2
421,3,2
422,1,2
423,3,2
424,1,2
425,3,2
426,1,2
427,3,2
428,1,2
429,3,2
430,1,2
431,3,2
432,1,2
433,3,2
434,1,2
435,3,2
436,1,2
437,3,2
438,1,2
439,3,2
440,1,2
441,3,2
442,1,2
443,3,2
444,1,2
445,3,2
446,1,2
447,3,2
448,1,2
449,3,2
450,1,2
451,3,2
452,1,2
453,3,2
454,1,2
455,3,2
456,1,2
457,3,2
458,1,2
459,3,2
460,1,2
461,3,2
462,1,2
463,3,2
464,1,2
465,3,2
466,1,2
467,3,2
