#repetition,Firm0,Firm1
0,20.0,10.0
1,12.0,8.0
2,18.0,2.0
3,16.0,12.0
4,22.0,10.0
5,18.0,18.0
6,10.0,6.0
7,22.0,8.0
8,8.0,14.0
9,12.0,16.0
10,16.0,16.0
11,16.0,4.0
12,16.0,6.0
13,14.0,4.0
14,28.0,2.0
15,20.0,12.0
16,24.0,4.0
17,8.0,12.0
18,12.0,16.0
19,18.0,6.0
20,14.0,10.0
21,10.0,16.0
22,20.0,14.0
23,14.0,8.0
24,14.0,10.0
25,10.0,14.0
26,18.0,12.0
27,20.0,14.0
28,18.0,10.0
29,18.0,16.0
30,22.0,14.0
31,22.0,8.0
32,18.0,14.0
33,18.0,10.0
34,20.0,8.0
35,16.0,12.0
36,16.0,12.0
37,14.0,0.0
38,14.0,12.0
39,12.0,12.0
40,22.0,10.0
41,18.0,6.0
42,16.0,12.0
43,12.0,12.0
44,20.0,12.0
45,14.0,8.0
46,12.0,20.0
47,14.0,10.0
48,24.0,14.0
49,12.0,0.0
50,16.0,18.0
51,14.0,12.0
52,8.0,16.0
53,14.0,18.0
54,14.0,12.0
55,18.0,14.0
56,22.0,12.0
57,12.0,14.0
58,14.0,20.0
59,14.0,16.0
60,16.0,6.0
61,16.0,14.0
62,16.0,6.0
63,14.0,12.0
64,8.0,10.0
65,16.0,14.0
66,8.0,6.0
67,12.0,6.0
68,10.0,16.0
69,18.0,14.0
70,18.0,8.0
71,16.0,6.0
72,18.0,10.0
73,18.0,16.0
74,16.0,8.0
75,16.0,22.0
76,18.0,8.0
77,20.0,8.0
78,18.0,10.0
79,16.0,12.0
80,10.0,10.0
81,18.0,12.0
82,20.0,8.0
83,18.0,8.0
84,14.0,14.0
85,16.0,12.0
86,24.0,12.0
87,14.0,16.0
88,8.0,18.0
89,22.0,14.0
90,22.0,16.0
91,24.0,8.0
92,20.0,4.0
93,26.0,8.0
94,16.0,12.0
95,14.0,16.0
96,16.0,8.0
97,20.0,8.0
98,10.0,14.0
99,28.0,4.0
100,20.0,6.0
101,24.0,8.0
102,6.0,16.0
103,28.0,20.0
104,10.0,12.0
105,20.0,10.0
106,-2.0,10.0
107,16.0,12.0
108,20.0,12.0
109,22.0,8.0
110,14.0,8.0
111,24.0,12.0
112,18.0,2.0
113,20.0,10.0
114,10.0,12.0
115,22.0,10.0
116,12.0,12.0
117,18.0,14.0
118,14.0,12.0
119,24.0,8.0
120,16.0,8.0
121,16.0,16.0
122,10.0,18.0
123,12.0,14.0
124,24.0,6.0
125,14.0,10.0
126,22.0,18.0
127,12.0,4.0
128,16.0,14.0
129,20.0,6.0
130,16.0,14.0
131,20.0,14.0
132,14.0,18.0
133,16.0,8.0
134,12.0,8.0
135,10.0,14.0
136,16.0,8.0
137,18.0,10.0
138,14.0,10.0
139,22.0,12.0
140,24.0,8.0
141,14.0,6.0
