#repetition,TotalFirmProfit,TotalConsumerUtility,SocialWelfair,firmEpsilon,consumerEpsilon,Firm0's Quality,Firm1's Quality,Firm0's Price,Firm1's Price
0,-20.0,8.4375,-11.5625,0.3,0.0,0.0,2.0,2.0,3.0
1,11461.0,64707.90625,76168.90625,0.2999996250001874,0.0,0.0,2.0,3.0,2.0
2,19385.0,72455.0,91840.0,0.29999850000299993,0.0,0.0,3.0,3.0,2.0
3,19224.0,77606.1875,96830.1875,0.2999966250151875,0.0,0.0,3.0,3.0,2.0
4,19085.0,81354.0,100439.0,0.2999940000479998,0.0,3.0,0.0,2.0,1.0
5,20168.0,80772.875,100940.875,0.29999062511718677,0.0,2.0,2.0,3.0,2.0
6,18516.0,85212.09375,103728.09375,0.2999865002429978,0.0,3.0,3.0,1.0,3.0
7,18659.0,89368.125,108027.125,0.2999816254501819,0.0,3.0,3.0,2.0,2.0
8,15135.0,95498.625,110633.625,0.2999760007679877,0.0,3.0,3.0,2.0,1.0
9,13568.0,99356.9375,112924.9375,0.2999696262301625,0.0,3.0,3.0,2.0,2.0
10,14054.0,103384.125,117438.125,0.29996250187495305,0.0,3.0,3.0,2.0,3.0
11,12581.0,100222.40625,112803.40625,0.2999546277451044,0.0,2.0,0.0,1.0,3.0
12,15015.0,101895.625,116910.625,0.29994600388785997,0.0,3.0,0.0,1.0,3.0
13,14926.0,105829.78125,120755.78125,0.2999366303549612,0.0,3.0,3.0,1.0,2.0
14,11625.0,107398.1875,119023.1875,0.2999265072026471,0.0,3.0,3.0,1.0,1.0
15,7025.0,106081.4375,113106.4375,0.2999156344916536,0.0,2.0,3.0,2.0,1.0
16,7134.0,106562.78125,113696.78125,0.29990401228721364,0.0,2.0,2.0,2.0,2.0
17,3428.0,112143.96875,115571.96875,0.2998916406590561,0.0,3.0,1.0,2.0,3.0
18,6021.0,106703.40625,112724.40625,0.2998785196814057,0.0,0.0,1.0,3.0,2.0
19,5624.0,106115.3125,111739.3125,0.2998646494329824,0.0,3.0,3.0,1.0,1.0
20,4024.0,115803.5625,119827.5625,0.29985002999700017,0.0,2.0,2.0,3.0,1.0
21,6808.0,108549.375,115357.375,0.29983466146116744,0.0,3.0,2.0,1.0,3.0
22,4767.0,110970.28125,115737.28125,0.2998185439176856,0.0,3.0,3.0,2.0,2.0
23,6402.0,112285.84375,118687.84375,0.2998016774632489,0.0,2.0,3.0,2.0,1.0
24,4321.0,117219.53125,121540.53125,0.29978406219904263,0.0,2.0,3.0,2.0,2.0
25,6765.0,116011.03125,122776.03125,0.29976569823074434,0.0,2.0,3.0,1.0,3.0
26,8592.0,114850.75,123442.75,0.29974658566852086,0.0,2.0,2.0,3.0,2.0
27,3115.0,116435.09375,119550.09375,0.29972672462702876,0.0,3.0,3.0,3.0,3.0
28,4290.0,115482.65625,119772.65625,0.2997061152254136,0.0,3.0,3.0,1.0,1.0
29,3579.0,118588.5625,122167.5625,0.2996847575873081,0.0,3.0,3.0,2.0,1.0
30,1238.0,119072.8125,120310.8125,0.2996626518408319,0.0,3.0,3.0,1.0,1.0
31,1869.0,117814.53125,119683.53125,0.29963979811859065,0.0,2.0,3.0,1.0,2.0
32,5972.0,107237.65625,113209.65625,0.29961619655767474,0.0,3.0,3.0,2.0,1.0
33,9488.0,108910.15625,118398.15625,0.2995918472996582,0.0,2.0,2.0,3.0,1.0
34,6890.0,110011.34375,116901.34375,0.2995667504905978,0.0,3.0,3.0,1.0,1.0
35,7137.0,113944.53125,121081.53125,0.2995409062810321,0.0,3.0,2.0,3.0,2.0
36,7521.0,109507.90625,117028.90625,0.29951431482597984,0.0,2.0,1.0,3.0,3.0
37,4697.0,112256.0625,116953.0625,0.2994869762849397,0.0,3.0,3.0,1.0,2.0
38,4947.0,115709.6875,120656.6875,0.29945889082188787,0.0,2.0,0.0,2.0,3.0
39,10821.0,106013.875,116834.875,0.29943005860527777,0.0,3.0,1.0,2.0,3.0
40,7955.0,109327.0,117282.0,0.29940047980803847,0.0,3.0,3.0,1.0,1.0
41,4684.0,112143.78125,116827.78125,0.29937015460757316,0.0,3.0,3.0,2.0,2.0
42,5405.0,113267.125,118672.125,0.2993390831857583,0.0,3.0,3.0,1.0,1.0
43,951.0,119390.6875,120341.6875,0.2993072657289421,0.0,2.0,3.0,2.0,3.0
44,41.0,115434.0625,115475.0625,0.2992747024279425,0.0,3.0,3.0,2.0,1.0
45,4761.0,109676.3125,114437.3125,0.2992413934780469,0.0,3.0,0.0,2.0,2.0
46,15287.0,98434.03125,113721.03125,0.29920733907900976,0.0,2.0,0.0,2.0,3.0
47,18455.0,96197.8125,114652.8125,0.29917253943505123,0.0,2.0,0.0,1.0,1.0
48,17928.0,92440.4375,110368.4375,0.2991369947548561,0.0,3.0,0.0,2.0,3.0
49,14746.0,100028.5625,114774.5625,0.2991007052515719,0.0,3.0,0.0,2.0,1.0
50,10487.0,106130.34375,116617.34375,0.29906367114280696,0.0,3.0,3.0,1.0,2.0
51,9832.0,104311.0,114143.0,0.2990258926506297,0.0,2.0,3.0,3.0,1.0
52,10263.0,110836.65625,121099.65625,0.29898737000156583,0.0,3.0,3.0,1.0,2.0
53,17894.0,94627.0,112521.0,0.2989481034265978,0.0,3.0,0.0,2.0,3.0
54,19737.0,87715.0625,107452.0625,0.2989080931611621,0.0,3.0,2.0,1.0,1.0
55,17168.0,87661.0625,104829.0625,0.298867339445148,0.0,3.0,3.0,2.0,2.0
56,23073.0,90216.46875,113289.46875,0.2988258425228957,0.0,3.0,2.0,1.0,1.0
57,22442.0,89959.96875,112401.96875,0.29878360264319437,0.0,3.0,3.0,1.0,1.0
58,20388.0,95338.5,115726.5,0.29874062005928026,0.0,1.0,2.0,2.0,1.0
59,20638.0,94985.8125,115623.8125,0.29869689502883523,0.0,3.0,2.0,2.0,3.0
60,23716.0,94490.75,118206.75,0.29865242781398393,0.0,3.0,0.0,3.0,2.0
61,21879.0,96689.4375,118568.4375,0.298607218681293,0.0,3.0,0.0,2.0,1.0
62,16540.0,98707.53125,115247.53125,0.29856126790176807,0.0,2.0,3.0,3.0,1.0
63,20130.0,101984.34375,122114.34375,0.29851457575085205,0.0,3.0,2.0,1.0,1.0
64,21486.0,94182.4375,115668.4375,0.2984671425084234,0.0,3.0,0.0,2.0,2.0
65,20830.0,95865.96875,116695.96875,0.2984189684587937,0.0,2.0,2.0,2.0,3.0
66,14811.0,104308.28125,119119.28125,0.29837005389070526,0.0,3.0,3.0,1.0,1.0
67,2894.0,118807.125,121701.125,0.2983203990973296,0.0,3.0,0.0,2.0,2.0
68,7452.0,113174.75,120626.75,0.2982700043762647,0.0,2.0,0.0,1.0,1.0
69,5897.0,114755.6875,120652.6875,0.2982188700295335,0.0,3.0,2.0,2.0,3.0
70,6910.0,114196.0,121106.0,0.29816699636358,0.0,3.0,3.0,3.0,1.0
71,2261.0,114913.90625,117174.90625,0.29811438368926946,0.0,3.0,0.0,3.0,2.0
72,4442.0,114980.6875,119422.6875,0.29806103232188363,0.0,3.0,0.0,3.0,2.0
73,2099.0,114739.40625,116838.40625,0.29800694258111965,0.0,3.0,3.0,3.0,1.0
74,2840.0,116001.0,118841.0,0.2979521147910881,0.0,2.0,3.0,1.0,1.0
75,5297.0,115249.21875,120546.21875,0.29789654928030884,0.0,2.0,3.0,2.0,2.0
76,2105.0,120134.3125,122239.3125,0.29784024638171064,0.0,3.0,3.0,1.0,1.0
77,-535.0,116942.53125,116407.53125,0.2977832064326269,0.0,2.0,0.0,1.0,2.0
78,190.0,114230.3125,114420.3125,0.29772542977479427,0.0,3.0,3.0,3.0,1.0
79,4864.0,113398.8125,118262.8125,0.2976669167543495,0.0,3.0,3.0,2.0,2.0
80,1199.0,121916.09375,123115.09375,0.2976076677218272,0.0,3.0,3.0,1.0,1.0
81,5166.0,109198.3125,114364.3125,0.29754768303215695,0.0,0.0,3.0,3.0,2.0
82,9411.0,109476.59375,118887.59375,0.29748696304466055,0.0,0.0,2.0,3.0,1.0
83,8364.0,108442.8125,116806.8125,0.2974255081230499,0.0,3.0,3.0,1.0,1.0
84,9273.0,106274.4375,115547.4375,0.2973633186354236,0.0,0.0,3.0,3.0,2.0
85,6786.0,108389.1875,115175.1875,0.2973003949542644,0.0,2.0,3.0,2.0,2.0
86,2998.0,111234.375,114232.375,0.2972367374564367,0.0,0.0,3.0,2.0,2.0
87,173.0,120857.40625,121030.40625,0.29717234652318314,0.0,1.0,3.0,2.0,2.0
88,-392.0,120541.21875,120149.21875,0.2971072225401225,0.0,3.0,2.0,3.0,3.0
89,900.0,117612.34375,118512.34375,0.2970413658972463,0.0,2.0,2.0,3.0,1.0
90,428.0,118948.53125,119376.53125,0.2969747769889155,0.0,3.0,3.0,1.0,3.0
91,996.0,118579.34375,119575.34375,0.29690745621385867,0.0,3.0,3.0,1.0,1.0
92,3618.0,117973.5,121591.5,0.296839403975168,0.0,0.0,2.0,3.0,3.0
93,3641.0,116965.4375,120606.4375,0.2967706206802964,0.0,3.0,3.0,1.0,1.0
94,2277.0,119173.28125,121450.28125,0.2967011067410551,0.0,2.0,1.0,1.0,2.0
95,2425.0,115924.1875,118349.1875,0.29663086257360993,0.0,3.0,3.0,2.0,1.0
96,733.0,118733.40625,119466.40625,0.2965598885984781,0.0,3.0,3.0,1.0,1.0
97,-724.0,123876.4375,123152.4375,0.2964881852405257,0.0,3.0,3.0,1.0,1.0
98,1937.0,115863.53125,117800.53125,0.2964157529289639,0.0,3.0,3.0,2.0,2.0
99,5078.0,117887.3125,122965.3125,0.2963425920973461,0.0,2.0,3.0,1.0,2.0
100,-1347.0,122818.5,121471.5,0.2962687031835645,0.0,3.0,3.0,1.0,1.0
101,-2758.0,127627.34375,124869.34375,0.29619408662984675,0.0,3.0,3.0,3.0,2.0
102,990.0,120102.21875,121092.21875,0.29611874288275286,0.0,3.0,3.0,1.0,1.0
103,5244.0,114340.03125,119584.03125,0.2960426723931715,0.0,0.0,3.0,2.0,2.0
104,8844.0,106168.46875,115012.46875,0.29596587561631715,0.0,0.0,3.0,3.0,2.0
105,14049.0,101973.625,116022.625,0.2958883530117262,0.0,2.0,3.0,1.0,2.0
106,13415.0,103830.0,117245.0,0.2958101050432537,0.0,0.0,3.0,3.0,1.0
107,13759.0,106061.625,119820.625,0.29573113217906966,0.0,0.0,3.0,2.0,2.0
108,7536.0,110364.75,117900.75,0.29565143489165574,0.0,3.0,1.0,1.0,2.0
109,1548.0,120173.28125,121721.28125,0.29557101365780225,0.0,3.0,3.0,2.0,1.0
110,3656.0,115752.09375,119408.09375,0.29548986895860296,0.0,0.0,3.0,3.0,2.0
111,-1419.0,122222.25,120803.25,0.29540800127945366,0.0,3.0,3.0,1.0,1.0
112,3659.0,112658.84375,116317.84375,0.29532541111004657,0.0,3.0,2.0,1.0,1.0
113,129.0,115232.34375,115361.34375,0.2952420989443678,0.0,3.0,3.0,1.0,3.0
114,2155.0,111915.96875,114070.96875,0.29515806528069344,0.0,2.0,2.0,1.0,2.0
115,1774.0,116645.34375,118419.34375,0.29507331062158526,0.0,2.0,3.0,3.0,1.0
116,5655.0,112490.09375,118145.09375,0.2949878354738877,0.0,3.0,3.0,2.0,2.0
117,4486.0,118246.4375,122732.4375,0.29490164034872396,0.0,3.0,3.0,1.0,3.0
118,8665.0,111402.3125,120067.3125,0.2948147257614915,0.0,3.0,2.0,1.0,1.0
119,15761.0,105732.125,121493.125,0.29472709223185856,0.0,3.0,0.0,2.0,2.0
120,16903.0,102806.0625,119709.0625,0.2946387402837609,0.0,3.0,0.0,2.0,1.0
121,15690.0,106058.21875,121748.21875,0.29454967044539687,0.0,2.0,0.0,3.0,1.0
122,21155.0,101690.40625,122845.40625,0.2944598832492239,0.0,1.0,0.0,3.0,3.0
123,21630.0,98594.15625,120224.15625,0.29436937923195433,0.0,3.0,0.0,2.0,2.0
124,12101.0,102907.25,115008.25,0.29427815893455167,0.0,2.0,3.0,1.0,2.0
125,11596.0,111206.8125,122802.8125,0.2941862229022263,0.0,3.0,3.0,2.0,2.0
126,7487.0,114170.5625,121657.5625,0.29409357168443157,0.0,2.0,0.0,1.0,3.0
127,2555.0,117558.375,120113.375,0.2940002058348595,0.0,2.0,3.0,1.0,2.0
128,2862.0,118703.375,121565.375,0.2939061259114364,0.0,2.0,2.0,1.0,3.0
129,12206.0,111017.0625,123223.0625,0.2938113324763194,0.0,3.0,3.0,1.0,1.0
130,11120.0,112990.59375,124110.59375,0.2937158260958914,0.0,2.0,3.0,1.0,2.0
131,12363.0,111628.375,123991.375,0.2936196073407575,0.0,2.0,2.0,3.0,1.0
132,11726.0,113595.75,125321.75,0.2935226767857403,0.0,3.0,3.0,2.0,2.0
133,11373.0,112472.5625,123845.5625,0.29342503500987566,0.0,3.0,2.0,2.0,3.0
134,11707.0,113218.09375,124925.09375,0.2933266825964082,0.0,3.0,3.0,2.0,1.0
135,10872.0,113748.65625,124620.65625,0.2932276201327873,0.0,3.0,2.0,1.0,3.0
136,10760.0,113244.40625,124004.40625,0.29312784821066284,0.0,3.0,3.0,2.0,1.0
137,11097.0,113576.4375,124673.4375,0.2930273674258797,0.0,2.0,2.0,3.0,3.0
