#repetition,Consumer0,Consumer1,Consumer2,Consumer3,Consumer4,Consumer5,Consumer6,Consumer7,Consumer8,Consumer9,Consumer10,Consumer11,Consumer12,Consumer13,Consumer14,Consumer15,Consumer16,Consumer17,Consumer18,Consumer19,Consumer20,Consumer21,Consumer22,Consumer23,Consumer24,Consumer25,Consumer26,Consumer27,Consumer28,Consumer29,Consumer30,Consumer31,Consumer32,Consumer33,Consumer34,Consumer35,Consumer36,Consumer37,Consumer38,Consumer39,Consumer40,Consumer41,Consumer42,Consumer43,Consumer44,Consumer45,Consumer46,Consumer47,Consumer48,Consumer49
0,1,0,0,0,0,-3,1,0,0,2,0,0,3,1,1,0,0,3,0,0,-3,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,2,2,0,0,1,1
1,0,0,1,-3,0,0,0,-3,0,0,1,0,0,0,0,1,1,0,0,-3,0,0,0,0,0,0,-3,-3,1,0,-3,1,0,1,-3,0,0,1,0,0,1,0,1,1,-3,1,1,1,0,0
2,1,0,-3,1,0,0,1,0,0,2,2,3,-3,1,1,0,0,1,0,0,0,1,0,-3,1,1,0,0,0,1,-3,0,1,-3,0,1,0,0,-3,1,3,1,3,0,0,0,2,-3,0,1
3,0,0,0,0,0,0,-3,1,-3,-3,0,0,0,0,0,1,1,0,0,1,0,-3,0,0,0,3,1,1,-3,0,0,1,0,0,1,0,-3,1,0,0,0,-3,0,1,2,-3,0,0,0,0
4,1,0,1,2,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,-3,0,0,-3,1,1,0,0,0,0,1,1,3,1,1,0,1,1,0,1,-3,1,0,1,0,-3,1,-3,-3,0,1
5,0,-3,2,0,0,0,1,1,0,1,2,-3,0,0,3,1,1,0,0,0,3,1,2,1,0,1,1,1,1,0,0,2,0,0,1,0,0,-3,-3,0,-3,1,3,1,0,1,-3,0,0,0
6,1,-3,0,2,3,-3,-3,0,0,0,0,0,1,-3,0,2,0,-3,-3,1,0,0,2,2,1,0,0,0,0,1,1,2,1,3,3,3,0,0,0,1,0,0,0,0,2,0,1,1,0,3
7,0,1,3,0,-3,0,0,-3,0,2,1,0,0,0,1,2,1,0,-3,0,-3,1,0,0,-3,1,1,-3,1,3,0,2,0,0,0,0,0,1,3,0,1,1,1,1,0,1,0,-3,0,0
8,1,0,2,2,0,-3,1,0,0,0,3,-3,1,1,0,2,0,1,0,-3,0,0,0,1,1,0,0,0,0,1,1,2,1,1,1,3,0,3,0,1,0,0,0,0,2,2,1,1,0,1
9,-3,0,0,0,0,0,-3,1,0,1,0,0,0,-3,1,1,1,0,3,0,-3,1,0,1,0,1,1,1,1,0,3,2,0,-3,0,0,0,1,1,0,1,1,1,1,0,0,2,1,0,0
10,1,0,1,2,0,0,0,3,0,0,1,0,1,0,0,2,0,-3,3,1,-3,0,0,0,-3,3,0,0,0,1,0,2,3,0,1,1,-3,0,0,-3,0,0,-3,0,2,1,1,1,0,1
11,0,0,2,0,-3,3,1,0,3,2,-3,0,0,1,1,1,-3,3,0,0,0,1,-3,1,0,0,-3,1,1,0,-3,2,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
12,1,0,0,2,0,0,0,1,0,0,0,-3,1,0,-3,2,0,0,3,1,0,0,2,0,1,3,0,0,0,1,0,2,1,0,1,1,0,0,0,1,0,0,1,0,2,0,1,0,0,1
13,0,3,1,0,0,3,1,0,0,2,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,2,0,1,0,-3,0,1,1,0,1,1,0,1,0,1,2,1,0,0
14,1,0,2,2,0,0,0,1,0,0,2,0,1,3,1,2,0,0,0,1,0,0,0,0,1,1,3,0,3,1,0,2,3,3,1,0,0,0,3,1,0,0,1,0,2,2,0,0,-3,1
15,0,0,0,0,0,-3,-3,0,0,1,0,0,0,0,0,2,1,-3,0,0,0,1,0,1,-3,-3,0,3,0,0,1,2,0,0,0,1,3,1,1,0,1,1,0,1,0,0,1,1,-3,0
16,1,0,1,2,0,0,0,1,-3,-3,-3,0,1,-3,1,1,0,0,0,-3,-3,0,0,0,0,0,-3,0,1,1,3,2,1,1,3,0,1,0,0,1,3,0,1,1,2,1,2,3,0,1
17,3,0,2,0,0,0,1,0,0,1,2,0,0,0,0,2,1,1,0,0,0,1,0,-3,1,1,0,1,0,3,0,2,0,0,0,1,1,1,1,0,0,1,0,0,0,2,0,0,-3,0
18,0,0,0,3,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,1,0,0,3,1,0,0,1,0,3,0,1,2,1,1,1,0,0,0,0,1,1,0,1,1,2,0,1,1,2,1
19,1,0,1,0,0,0,1,0,0,2,1,0,0,0,0,2,1,1,0,3,0,1,2,0,-3,1,3,1,0,3,-3,2,0,0,0,1,3,1,1,0,0,1,0,0,0,1,2,0,0,-3
20,3,3,2,2,0,0,0,1,0,3,2,3,1,1,1,2,3,0,0,0,-3,0,2,1,0,0,0,0,1,0,0,2,1,1,1,0,1,0,0,-3,1,3,1,1,2,2,1,1,0,0
21,0,0,1,0,-3,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,2,0,3,1,1,1,0,1,1,1,0,0,-3,1,0,1,1,0,3,0,0,0,-3,1,0,0,0,1
22,1,-3,0,2,-3,0,0,-3,0,2,1,0,1,1,1,2,1,3,0,0,0,0,2,-3,-3,0,0,0,1,0,0,2,3,1,0,0,0,0,0,1,0,1,1,1,0,0,1,3,0,0
23,0,-3,1,0,0,0,3,0,0,0,2,0,0,0,3,2,0,0,-3,1,0,1,2,0,0,1,1,1,3,1,1,2,0,0,1,-3,0,-3,1,0,1,0,0,0,3,1,2,-3,0,-3
24,1,0,2,2,0,0,0,-3,-3,2,1,0,1,1,0,2,1,1,0,0,0,0,0,1,1,0,3,0,0,0,3,2,1,1,0,0,-3,0,-3,1,0,3,1,1,-3,2,0,0,0,0
25,0,-3,0,0,-3,0,3,0,0,-3,1,0,0,0,1,2,0,0,0,-3,-3,1,0,0,0,1,0,1,1,1,0,1,0,3,1,1,1,1,0,0,1,-3,0,0,2,0,1,1,0,1
26,1,0,1,2,0,3,0,1,-3,1,1,-3,1,1,0,2,1,1,0,0,0,0,0,1,1,-3,-3,-3,3,0,1,2,1,0,-3,0,0,0,3,1,-3,0,1,1,0,1,2,0,0,0
27,0,0,2,0,0,0,1,0,0,0,0,3,0,3,1,1,0,0,0,1,0,3,0,1,0,0,0,0,1,1,0,2,0,1,0,1,0,1,0,0,1,1,0,0,-3,2,0,1,0,1
28,1,0,0,2,0,0,0,1,0,2,-3,0,1,1,0,2,1,1,0,0,0,0,3,0,-3,1,1,1,0,0,1,2,3,-3,1,-3,-3,-3,1,1,0,0,1,1,0,0,3,-3,0,3
29,0,0,1,0,3,0,3,0,0,0,2,0,0,0,1,2,0,0,-3,-3,-3,1,2,1,0,0,0,0,1,3,0,2,3,1,0,0,1,0,0,3,1,-3,0,0,2,1,2,0,0,0
30,1,0,-3,2,3,0,0,-3,0,2,0,-3,1,1,0,2,1,1,0,3,3,0,0,0,-3,1,1,1,0,0,1,2,0,0,1,3,0,1,-3,1,0,0,1,1,0,2,1,1,0,1
31,0,0,1,0,1,3,-3,0,0,0,1,-3,0,0,1,2,0,0,0,0,0,-3,0,1,-3,-3,0,0,1,1,0,2,1,3,0,0,-3,3,0,0,1,-3,0,0,2,0,0,0,0,0
32,1,0,0,-3,0,-3,-3,1,-3,2,3,0,1,1,0,2,1,1,3,1,0,0,0,1,0,1,1,1,-3,-3,1,2,0,0,1,3,1,0,1,1,0,0,1,1,-3,1,1,-3,-3,1
33,0,0,1,0,0,0,1,0,2,0,0,3,0,0,1,2,0,0,0,0,0,3,0,0,1,0,0,3,1,0,0,1,1,1,0,0,0,1,0,3,1,1,0,0,0,2,2,0,2,0
34,1,0,2,2,0,0,0,1,0,2,-3,0,1,1,0,2,1,1,0,1,0,0,0,3,0,1,1,0,0,1,3,2,-3,0,1,1,0,0,1,0,-3,0,1,3,2,0,1,1,0,1
35,-3,0,1,1,-3,0,-3,-3,0,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,-3,0,0,1,3,0,0,2,2,1,-3,0,3,1,3,1,0,1,0,0,0,1,0,0,0,-3
36,1,0,0,0,0,0,0,2,0,1,0,0,1,1,0,2,1,1,-3,1,0,0,0,1,0,3,-3,0,-3,3,1,2,2,3,0,3,1,-3,0,0,-3,0,1,1,2,2,1,-3,0,2
37,1,0,1,2,0,0,-3,0,0,0,1,0,3,-3,1,2,0,0,3,0,-3,-3,0,0,1,0,3,1,1,0,0,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,-3,0,0
38,1,0,2,1,3,0,0,-3,0,2,2,-3,0,0,0,2,1,-3,0,1,0,0,0,1,0,1,1,3,1,1,1,2,1,1,0,1,0,1,0,0,1,3,3,1,2,1,0,1,0,1
39,0,0,0,0,0,0,1,0,0,0,0,-3,1,-3,1,2,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,1,3,0,0,3,0,0,2,1,0,0,0
40,3,0,1,2,0,0,0,1,0,1,3,0,0,0,0,2,1,1,0,1,0,0,0,1,0,1,0,1,-3,1,1,2,1,1,0,1,0,1,-3,0,-3,1,0,1,3,0,2,1,0,1
41,3,-3,2,0,0,0,1,-3,0,0,2,0,1,1,1,1,0,0,0,0,0,1,-3,0,1,-3,3,0,0,0,0,1,-3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
42,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,1,3,0,1,0,0,1,1,0,0,0,1,1,3,3,2,2,-3,0,1,0,-3,1,0,1,1,0,1,2,2,1,-3,0,1
43,1,0,1,0,-3,-3,1,1,0,3,1,0,1,1,1,2,-3,-3,-3,-3,-3,1,0,0,1,1,1,0,0,-3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,3,-3
44,-3,0,2,2,0,0,0,0,0,1,2,-3,-3,0,0,2,1,0,0,0,0,0,0,1,3,0,-3,1,1,0,1,2,1,3,0,1,0,1,1,-3,1,1,0,1,3,1,0,3,2,0
45,0,3,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,1,0,-3,0,1,0,1,0,1,1,0,0,1,-3,2,0,0,1,0,0,-3,0,1,0,0,-3,0,-3,1,3,0,0,1
46,1,0,1,2,0,0,0,0,0,2,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,3,1,0,1,2,1,1,3,3,-3,0,1,0,1,-3,0,1,0,0,-3,-3,3,0
47,0,0,2,1,-3,-3,1,1,0,0,2,-3,0,1,1,2,0,1,0,1,-3,-3,3,1,0,1,1,3,0,-3,0,2,0,3,0,0,1,1,0,1,0,0,1,0,2,3,0,3,2,1
48,-3,0,0,0,3,0,0,0,-3,1,1,-3,1,0,-3,2,-3,0,0,0,0,0,2,1,1,0,-3,0,1,3,-3,2,1,0,1,1,0,0,1,0,3,1,0,1,0,2,1,0,1,0
49,0,0,1,2,0,0,1,1,0,-3,0,0,0,1,1,2,0,1,0,1,0,1,0,0,-3,1,0,1,-3,0,0,2,-3,1,3,3,0,1,0,1,0,0,1,0,3,0,2,1,0,1
50,1,0,2,0,-3,0,0,0,3,0,1,0,1,0,0,2,1,3,0,0,0,0,0,-3,0,0,1,0,0,-3,1,2,2,0,0,0,-3,-3,1,-3,1,1,-3,-3,3,1,0,0,0,3
51,0,0,1,-3,0,0,1,1,0,2,2,0,0,1,1,2,3,0,0,1,0,1,3,0,1,1,0,1,1,0,0,2,0,-3,1,3,1,0,0,0,0,-3,0,0,0,2,1,1,0,0
52,1,0,0,0,-3,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,1,-3,-3,1,0,0,1,1,2,1,3,0,0,0,1,1,1,1,0,1,1,2,0,3,0,3,1
53,0,-3,1,2,0,0,1,1,0,2,1,3,3,1,1,2,1,0,0,-3,3,1,2,0,1,1,0,1,1,0,-3,2,0,0,1,1,0,3,0,0,0,1,0,1,0,1,0,1,2,0
54,1,0,2,0,0,-3,0,0,0,0,2,-3,0,3,0,2,0,1,0,-3,0,0,0,1,0,0,1,0,0,1,0,2,1,-3,0,0,0,1,1,1,3,0,1,1,2,1,3,0,0,1
55,0,3,0,-3,0,0,1,1,0,2,0,0,-3,1,1,2,-3,0,3,0,0,1,0,0,1,3,0,1,1,0,1,2,-3,-3,1,1,0,0,0,-3,0,1,0,0,0,1,2,3,0,0
56,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,2,0,1,0,-3,0,-3,0,1,-3,0,1,-3,0,1,0,2,0,0,0,0,0,1,1,1,1,3,1,1,2,0,0,0,-3,1
57,0,-3,-3,2,-3,3,1,1,0,2,2,0,3,-3,1,2,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,2,-3,1,3,1,0,0,0,0,0,0,0,0,3,-3,1,1,2,0
58,1,-3,0,0,0,0,0,0,-3,0,1,0,0,3,0,1,3,-3,0,1,0,1,0,1,1,0,1,1,3,1,0,2,0,0,3,0,0,1,1,1,1,1,1,1,2,2,2,0,0,-3
59,0,0,1,2,0,-3,1,-3,0,2,0,0,1,1,1,2,0,3,0,0,3,0,0,1,0,1,0,3,1,0,3,2,1,1,0,1,0,0,0,-3,-3,-3,0,1,2,0,0,3,0,0
60,1,3,2,0,0,0,-3,-3,-3,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,-3,2,0,0,1,3,0,1,1,1,0,0,1,0,0,-3,1,0,0,1
61,0,-3,0,3,-3,0,0,0,0,2,2,0,1,1,1,2,0,1,0,-3,0,0,0,1,0,1,-3,1,-3,0,0,2,1,3,0,0,0,0,3,0,1,1,3,1,-3,1,2,-3,0,0
62,1,0,-3,0,0,0,1,1,0,0,0,0,0,0,3,2,-3,0,0,0,0,1,0,0,1,-3,0,0,0,1,1,2,-3,0,1,1,0,1,0,1,0,-3,0,1,0,0,0,3,0,1
63,0,0,-3,3,0,0,0,3,0,2,1,0,1,1,1,2,0,1,0,1,0,0,0,1,0,0,3,1,1,0,-3,2,0,1,0,0,0,0,1,0,1,1,-3,0,2,1,1,0,0,0
