#repetition,Consumer0,Consumer1,Consumer2,Consumer3,Consumer4,Consumer5,Consumer6,Consumer7,Consumer8,Consumer9,Consumer10,Consumer11,Consumer12,Consumer13,Consumer14,Consumer15,Consumer16,Consumer17,Consumer18,Consumer19,Consumer20,Consumer21,Consumer22,Consumer23,Consumer24,Consumer25,Consumer26,Consumer27,Consumer28,Consumer29,Consumer30,Consumer31,Consumer32,Consumer33,Consumer34,Consumer35,Consumer36,Consumer37,Consumer38,Consumer39,Consumer40,Consumer41,Consumer42,Consumer43,Consumer44,Consumer45,Consumer46,Consumer47,Consumer48,Consumer49
26,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0
27,0,0,0,2,0,2,-3,0,0,0,0,-3,0,0,0,3,-3,-3,3,-3,0,0,0,-3,0,-3,0,-3,1,-3,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,3,0,-3,0,0,0,0,0,0,0,0,0,2,-3,0,0,3,0,0,0,-3,0,0,2,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0
29,0,0,0,2,-3,-3,0,0,0,-3,0,-3,0,0,3,0,-3,0,0,0,-3,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0
30,0,0,0,0,-3,0,0,-3,-3,0,-3,0,0,-3,0,0,0,-3,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-3,0,0,0,-3,0,0,-3,0,0,-3,0,1,-3
31,3,0,0,2,0,-3,0,0,-3,0,0,0,0,0,-3,0,-3,0,0,0,0,-3,0,-3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,-3,0,1,0,0,0,0,-3,3
32,-3,0,-3,3,-3,0,-3,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-3,0,0,0,-3,0,0,1,0,0,0,-3,0,-3,0,0,-3,0,0,2,-3,0,0,0,0,0,0,0,0
33,2,0,0,0,3,2,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,2,0
34,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,-3,0,0,-3,0,1,0,0,0,0,0,0,0,0,2,0,-3,0,0,0,0,3,0,0
35,-3,0,-3,0,0,2,0,0,3,0,0,0,-3,0,0,0,0,0,0,-3,0,-3,0,0,0,0,0,2,1,0,0,3,0,-3,0,0,-3,0,0,0,0,0,0,0,0,-3,0,0,1,-3
36,0,0,0,2,0,-3,-3,0,0,-3,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
37,3,0,-3,0,0,0,0,0,0,2,3,0,0,0,0,0,-3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,-3,-3,-3,0,0,-3,0,-3,0,-3,-3,0,0,0,0,0,2,0
38,0,0,0,2,0,2,0,0,0,0,-3,-3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-3,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,2,0
40,0,0,3,2,0,0,0,0,-3,0,-3,-3,0,-3,-3,0,-3,0,-3,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,3,0,0,0,-3,2,0,0,0,0,0,-3,0,0,0
41,0,-3,0,0,-3,2,-3,0,0,0,0,0,3,0,0,-3,0,-3,2,0,0,0,0,0,-3,0,3,0,0,-3,0,0,0,0,0,1,0,0,0,0,0,0,-3,-3,0,0,0,0,1,0
42,0,0,0,2,-3,-3,0,0,-3,0,0,0,3,0,0,0,0,-3,0,0,0,0,-3,-3,3,-3,0,-3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,-3,-3,0,0,0,-3,0,0,0,-3,-3,-3,-3,-3,0,0,0,0,0,0,-3,-3,0,1,0
44,0,0,-3,2,0,2,0,0,0,-3,-3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,-3,2,0,0,0,0,0,0,3,0,0,1,-3,0,2,0,0,0,0,0,0,3,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,2,0
46,0,0,-3,2,0,2,3,0,0,0,0,0,0,0,-3,0,-3,0,0,0,0,0,-3,0,0,0,0,2,0,0,3,0,0,-3,0,0,0,0,3,0,2,-3,0,0,0,0,-3,0,-3,-3
47,0,0,0,0,-3,0,0,0,0,-3,0,0,0,0,0,0,1,0,0,0,0,0,-3,0,0,-3,-3,0,0,0,0,1,-3,0,0,0,0,-3,-3,0,0,-3,0,0,0,-3,0,0,0,0
48,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,3,0,-3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
49,0,-3,-3,0,0,0,0,0,0,0,0,0,-3,0,0,-3,0,0,0,0,0,0,0,-3,0,0,0,-3,1,-3,0,0,0,0,-3,0,-3,-3,0,-3,0,0,0,0,-3,0,0,0,0,0
50,0,0,0,2,-3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,3,0,0,0,0,0,2,-3,0,0,0,0,0,0,2,0
51,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,1,0,0,0,0,0,0,0,-3,0,0,0,-3,0,0,0,0,-3,0,0,0,0,0,-3,0,0,0,0,0,-3,0,0,0,0,0
52,0,-3,-3,2,0,-3,0,0,0,-3,0,0,0,0,0,0,-3,0,0,0,-3,0,0,0,0,3,0,0,1,0,0,0,0,-3,-3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0
53,0,-3,0,0,0,-3,-3,3,0,0,0,-3,0,-3,-3,0,0,0,0,0,0,0,0,-3,0,0,-3,2,0,0,0,0,0,0,0,0,0,0,-3,0,0,-3,0,-3,0,0,0,0,0,0
54,0,0,0,2,0,0,-3,0,0,0,-3,0,0,0,3,0,0,-3,3,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,2,3,0,0,-3,-3,0,0,2,0
55,-3,0,0,0,0,2,0,-3,0,0,0,0,0,0,0,0,-3,0,2,0,0,0,-3,0,-3,-3,-3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,-3,0,0,1,3,3,0,0
56,0,0,0,2,0,0,-3,0,0,-3,0,-3,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,3,0,-3,0,-3,1,0,0,0,0,-3,-3,2,0
57,0,0,0,-3,-3,2,-3,0,0,0,0,-3,0,0,-3,0,0,0,0,0,3,-3,0,0,0,0,0,2,0,0,-3,1,0,-3,-3,-3,0,0,0,0,0,1,0,0,0,-3,0,0,0,0
58,0,-3,0,0,-3,0,0,0,0,0,-3,2,0,0,0,0,0,3,0,0,0,-3,0,0,0,3,0,0,1,0,0,0,-3,0,0,0,3,0,0,-3,2,0,0,0,0,0,0,0,2,0
59,0,0,0,-3,0,-3,0,-3,0,-3,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-3,0,0,-3,-3,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,3
60,0,0,0,0,0,0,0,0,0,2,0,-3,0,0,0,0,0,0,0,0,0,0,-3,-3,0,3,0,0,0,0,0,1,0,-3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0
61,-3,0,0,2,-3,2,0,0,0,0,-3,3,0,0,0,0,0,0,0,3,0,0,0,0,-3,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0
62,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,-3,0,-3,3,0,0,0,0,2,-3,1,3,0,-3,0,0,2,0
63,0,0,0,-3,0,2,0,0,0,0,0,0,0,0,-3,0,0,0,3,0,0,0,0,0,0,0,0,-3,1,0,0,0,0,-3,0,-3,0,-3,0,0,-3,0,0,1,0,0,0,-3,0,-3
64,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,-3,0,0,2,0,0,0,0,0,0,0,-3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,1,0,0,0,-3,2,-3
65,0,0,0,2,0,2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,3,0,0,1,0,1
66,0,-3,0,0,3,0,0,0,0,0,0,-3,-3,0,-3,0,0,0,0,3,0,0,-3,-3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
67,0,0,0,2,-3,2,0,0,0,0,-3,0,0,0,0,3,0,0,0,-3,3,0,0,-3,0,0,-3,0,0,-3,0,0,0,-3,0,0,0,0,-3,0,-3,0,0,-3,0,0,-3,0,0,-3
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-3,0,0,0,0,0,0,0,0,0,-3,0,2,0,0,0,0,0,-3,0,0,0,0,0,0,3,1,0,0,0,0,1,0
69,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,-3
70,0,-3,-3,0,0,0,-3,0,0,0,0,0,0,0,0,0,-3,0,0,0,-3,-3,0,0,0,0,-3,2,0,0,-3,0,0,0,0,3,-3,-3,0,0,0,0,0,0,-3,0,0,0,1,0
71,0,-3,0,2,0,2,0,0,0,0,0,0,0,-3,0,0,0,-3,0,0,0,-3,0,0,0,0,0,0,0,-3,3,0,0,0,-3,0,0,0,0,0,2,0,0,0,3,-3,0,3,0,-3
72,3,1,0,0,-3,-3,0,0,0,0,0,0,0,0,0,-3,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,-3
